claim_id,topic,status,paper_ready_claim,key_value,evidence_source,interpretation_limit
C01,task_scope,supported,This study addresses nine-class failure-pattern classification on WM-811K wafer bin maps.,"9 classes; 25,943 test maps per seed",00_项目管理/20260729_最终模型冻结清单.json,Classification only; not AOI object detection.
C02,final_model,supported,The selected model is HighRes ShuffleNetV2 trained with CrossEntropyLoss and without ECA.,"1,262,397 parameters",00_项目管理/20260729_最终模型冻结清单.json,Do not describe ECA or Focal Loss as final components.
C03,validation_selection,supported_with_scope_limit,The no-ECA variant was selected because its three-seed mean validation Macro-F1 was slightly higher than the ECA variant.,90.4881% vs 90.3511% (+0.1370 pp),04_实验/metrics/20260729_highres_ce_eca_multiseed_validation/aggregate_validation.csv,"Selection evidence, not a general proof that ECA is harmful."
C04,final_test_performance,supported,"Across three random seeds, the final model achieved 98.0342% +/- 0.0039% accuracy and 90.2029% +/- 0.1965% Macro-F1.","mean +/- sample SD across seeds 42, 123, and 2026",04_实验/metrics/20260729_highres_ce_multiseed_final_test/test_aggregate_summary.json,Fixed WM-811K benchmark test split.
C05,baseline_gain,supported_with_scope_limit,"Relative to the saved ResNet18 baseline, the final model improved mean accuracy by 0.1657 percentage points and mean Macro-F1 by 1.3787 percentage points.",one baseline run vs three final-model runs,04_实验/metrics/20260729_highres_ce_multiseed_final_test/test_aggregate_summary.json; 04_实验/metrics/20260729_final_vs_resnet18_statistical_significance/analysis_summary.json,Conditional on saved models; baseline training-seed uncertainty is unavailable.
C06,paired_significance,supported_with_scope_limit,All three paired accuracy and Macro-F1 comparisons remained significant after Holm correction at alpha=0.05.,largest adjusted p: accuracy 0.020573; Macro-F1 0.030897,04_实验/metrics/20260729_final_vs_resnet18_statistical_significance/analysis_summary.json,Sample-level inference conditional on fixed trained models.
C07,parameter_efficiency,supported,The final model reduced parameter count by 88.70% relative to ResNet18.,"1,262,397 vs 11,174,857 parameters",04_实验/benchmarks/20260729_final_model_complexity_mps_benchmark/model_complexity.csv,"Use 'parameter-efficient' or 'compact', not automatically 'faster'."
C08,state_dict_footprint,supported,The serialized state-dict tensor footprint was reduced by 88.57%.,4.8778 MiB vs 42.6655 MiB,04_实验/benchmarks/20260729_final_model_complexity_mps_benchmark/model_complexity.csv,"State-dict tensor footprint, not a complete deployed application size."
C09,compute_speed,not_supported,Do not claim that the final model is computationally faster than ResNet18.,FLOPs +25.83%; M1/MPS batch-1 latency +178.65%,04_实验/benchmarks/20260729_final_model_complexity_mps_benchmark/model_complexity.csv,The final model was slower on the measured Apple M1 Pro MPS setup.
C10,persistent_errors,supported,"The main persistent weaknesses involved Loc, Scratch, and Edge-Loc patterns, often confused with none.",381 samples wrong in all three seeds; 359 with the same wrong class,04_实验/metrics/20260729_highres_ce_multiseed_error_analysis/analysis_summary.json,Post-test descriptive analysis; no subsequent model tuning.
C11,external_generalization,not_supported,Do not claim external-dataset or factory-line generalization.,No external validation dataset evaluated,00_项目管理/20260729_最终模型冻结清单.json,Discuss deployment only as future work.
C12,independent_test,not_supported,Do not call the test split an untouched independent holdout.,Historical baseline test access is documented,00_项目管理/20260729_最终模型冻结清单.json,Call it the fixed WM-811K benchmark test split.
C13,highres_causal_ablation,not_supported,Do not attribute the entire gain causally to the high-resolution architecture modification.,No controlled multi-seed standard-ShuffleNetV2 + CE ablation,04_实验/metrics/20260729_highres_ce_eca_multiseed_validation/aggregate_validation.csv,Present the result as a system-level comparison.
C14,aoi_detection,not_supported,"Do not claim defect localization, bounding boxes, or micron-scale AOI detection.",Input is a wafer bin map; output is one of nine classes,00_项目管理/20260729_最终模型冻结清单.json,Use 'wafer failure-pattern classification'.
